ID,UserID,Origin,Destination,Time,Income,Comment,Created_at,Label,Time_Bucket,High_Income_Short_Ride,Duration_Category,Income_Per_Minute,Income_Capped,Income_Log
1001034,1001513,1030,1030,9,230000,"
",2024-04-13 10:07:38.022905,0,Short,0,Very Short,25555.555555555555,230000.0,12.345838935721968
1005544,1001129,631,847,42,1060000," راننده بسیار مودب بود و خوشرو بود
",2024-04-15 12:15:10.609723,0,Medium,0,Medium,25238.095238095237,1060000.0,13.87378040948403
1000139,1004333,858,864,34,1250000," سفر بسیار اسان و راحتی بود، و ماشین تمیزتمیز بود
",2024-04-13 02:18:36.600126,0,Medium,0,Medium,36764.705882352944,1250000.0,14.038654909278163
1000560,1001673,593,846,14,660000," راننده به موقع رسید
",2024-04-13 06:00:18.870376,1,Short,0,Short,47142.857142857145,660000.0,13.399996629152975
1008230,1002231,1018,1018,11,230000," ماشین بسیار شیک بود و  راننده از هر لحاظ حرفهای بود
",2024-04-16 16:31:47.874442,0,Short,0,Short,20909.090909090908,230000.0,12.345838935721968
1003604,1001649,845,592,0,650000," راننده با مهارت بالایی ترافیک شلوغ شهر را دور زد
",2024-04-14 13:39:01.032001,0,,0,,inf,650000.0,13.384729180332174
1005691,1003584,856,586,48,950000," سفر بی مشکلی با این راننده داشتم
",2024-04-15 13:18:58.364416,0,Long,0,Medium,19791.666666666668,950000.0,13.76421831620775
1007222,1001857,602,860,20,620000," راننده بسیار با دقت رفتار کرد و هیچ بیتوجهی متصور نبود
",2024-04-16 09:00:33.892365,0,Medium,0,Short,31000.0,620000.0,13.3374763699232
1007204,1004197,1018,1018,3,180000," این یک تجربه تاکسی بسیار مثبت بود پر از امنیت و رفاه بود
",2024-04-16 08:51:39.042025,0,Short,0,Very Short,60000.0,180000.0,12.100717685412471
1007134,1002076,593,591,12,300000," راننده خوبی بود
",2024-04-16 08:27:13.965445,0,Short,0,Short,25000.0,300000.0,12.611541086966115
1000174,1003897,619,865,33,1390000," سفر به همهی لحاظ عالی بود، و راننده شرایط را درک میکرد
",2024-04-13 02:48:51.274197,0,Medium,0,Medium,42121.21212121212,1390000.0,14.144815024531075
1001567,1003050,863,865,13,380000," راننده بسیار با همدلی با من صحبت کرد
",2024-04-13 14:19:09.344883,0,Short,0,Short,29230.76923076923,380000.0,12.847929163278053
1003127,1002189,1018,1018,11,280000," این سفر یکی از بهترین تجاربم بود
",2024-04-14 10:22:24.233502,0,Short,0,Short,25454.545454545456,280000.0,12.54254845357358
1004219,1003214,849,613,9,440000," این بخش از مسافرتی بود که خاطره خوبی شد
",2024-04-14 20:58:34.645204,0,Short,0,Very Short,48888.88888888889,440000.0,12.994532278619134
1007978,1004441,839,839,5,210000," راننده مرا به مقصدم رسانید و از من پول اضافی خواست
",2024-04-16 14:19:55.743333,0,Short,0,Very Short,42000.0,210000.0,12.25486757159303
1002339,1004198,1018,1018,10,390000," راننده جوان و خوش مشربی بود
",2024-04-14 04:04:04.133253,0,Short,0,Very Short,39000.0,390000.0,12.873904582205107
1001785,1003709,622,623,9,310000,"  خانم راننده حرفه ای بود
",2024-04-13 16:16:11.724179,0,Short,0,Very Short,34444.444444444445,310000.0,12.644330802262578
1004051,1003899,861,861,5,250000," از طولانی شدن مسیر خسته شدم
",2024-04-14 17:41:28.403493,0,Short,0,Very Short,50000.0,250000.0,12.429220196836383
1003204,1003306,1019,1019,3,190000," برای این سفر عالی، از راننده تلاشگرم سپاس گزاری میکنم
",2024-04-14 10:49:00.725077,0,Short,0,Very Short,63333.333333333336,190000.0,12.154784614286667
1000852,1000056,850,618,7,310000," همکاران راننده همیشه به دقت مسیر را بررسی میکنند و برای همه وقایع پیش بینیهای لازم را دارند
",2024-04-13 08:34:52.191493,0,Short,0,Very Short,44285.71428571428,310000.0,12.644330802262578
1006413,1003594,839,850,22,860000," مهارت راننده حیرت آور بود
",2024-04-16 02:17:44.826499,0,Medium,0,Short,39090.90909090909,860000.0,13.664688831019712
1000662,1000101,589,838,16,530000,"راننده به من کمک کرد تا به مقصدم برسم و توانایی مسیریابی خوبی داشت
",2024-04-13 06:50:28.501990,0,Medium,0,Short,33125.0,530000.0,13.180634172318978
1004058,1003491,611,863,27,1050000," سرویس تاکسی آنلاینی که انتخاب کردم بسیار حرفهای و خدمات مطلوبی داشت
",2024-04-14 17:42:32.194549,0,Medium,0,Short,38888.88888888889,1050000.0,13.864301674514206
1006204,1000919,1018,1018,14,410000," راننده دقیقاً در زمان توافق شده رسید و از تأخیر جلوگیری کرد
",2024-04-15 18:43:25.376704,0,Short,0,Short,29285.714285714286,410000.0,12.923914877701906
1007747,1003636,838,862,0,550000,"راننده مودب بود
",2024-04-16 12:36:13.213538,0,,0,,inf,550000.0,13.217675375388819
1003764,1003240,587,583,12,480000," پیشبینیهای راننده در مورد ترافیک دقیق و درست بود
",2024-04-14 14:48:49.599177,0,Short,0,Short,40000.0,480000.0,13.081543466215237
1008207,1000047,592,582,29,760000," راننده دقیقا در مبدا منتظر بود
",2024-04-16 16:14:03.059381,0,Medium,0,Short,26206.896551724138,760000.0,13.541075028051122
1002938,1004069,631,631,8,240000," از مهربانی و دقت راننده متشکرم
",2024-04-14 08:35:58.611561,0,Short,0,Very Short,30000.0,240000.0,12.388398368982115
1004088,1002102,842,856,12,420000," راننده بسیار با ادب و حرفهای رفتار کرد و سفر را لذتبخش کرد
",2024-04-14 18:17:09.984253,0,Short,0,Short,35000.0,420000.0,12.948012371209098
1006721,1001911,580,838,36,1150000," مسیری که راننده انتخاب کرد کمک کرد از یک ترافیک زیاد جلوگیری بشود
",2024-04-16 05:16:06.545362,0,Medium,0,Medium,31944.444444444445,1150000.0,13.955273369904273
1006127,1002823,1029,1029,23,560000," در حین مسافرت، راننده با من از موضوعات متنوعی گفتگو کرد و برای من یک سفر جذاب فراهم کرد
",2024-04-15 17:39:13.327951,0,Medium,0,Short,24347.82608695652,560000.0,13.235693848424024
1004282,1001451,608,592,18,650000," راننده قبل از شروع سفربه ترافیک مسلط بود
",2024-04-15 02:25:04.273733,0,Medium,0,Short,36111.11111111111,650000.0,13.384729180332174
1004712,1003759,1045,594,26,540000," سفر با این راننده برای من یک تجربهی لذت بخش بود
",2024-04-15 06:05:06.112617,0,Medium,0,Short,20769.23076923077,540000.0,13.199326270390594
1007666,1000854,839,863,27,790000," راننده به نظرات و پیشنهادات من توجه میکرد
",2024-04-16 12:10:50.399785,0,Medium,0,Short,29259.25925925926,790000.0,13.579789490265188
1002780,1004184,623,589,32,1040000,"راننده شخصی بسیار مودب بود
",2024-04-14 07:24:59.229988,0,Medium,0,Medium,32500.0,1040000.0,13.854732232655556
1005285,1002564,1019,593,58,1530000," راننده به آخرین وضعیت ترافیک آگاهی داشت
",2024-04-15 10:28:35.988534,0,Long,0,Medium,26379.310344827587,1530000.0,14.240778946963175
1001353,1004065,630,630,5,240000," از انتخابی که انجام دادم راضی ام  
",2024-04-13 12:29:19.032781,0,Short,0,Very Short,48000.0,240000.0,12.388398368982115
1007931,1002534,1018,1018,6,230000,"راننده بسیار قابل اطمینان بود
",2024-04-16 13:56:58.795559,0,Short,0,Very Short,38333.333333333336,230000.0,12.345838935721968
1004098,1000092,838,862,10,460000," راننده با مهارت و دقت بالا ترافیک شلوغ را به خوبی مدیریت کرد
",2024-04-14 18:28:30.082887,0,Short,0,Very Short,46000.0,460000.0,13.038983942375959
